"transaction_id","order_date","product_code","customer_code","market_code","qty","total_sales","profit","profit_margin"
1,2024-01-02,P001,C001,M001,3,45000.00,24000.00,53.30
2,2024-01-04,P002,C002,M002,2,36000.00,18000.00,50.00
3,2024-01-06,P005,C003,M003,4,60000.00,36000.00,60.00
4,2024-01-07,P006,C004,M004,3,54000.00,33000.00,61.10
5,2024-01-09,P007,C005,M001,2,38000.00,22000.00,57.90
6,2024-01-10,P009,C006,M003,1,23000.00,13000.00,56.50
7,2024-01-12,P004,C007,M002,1,35000.00,15000.00,42.80
8,2024-01-13,P010,C008,M001,2,50000.00,26000.00,52.00
9,2024-01-15,P008,C009,M003,3,63000.00,36000.00,57.10
10,2024-01-17,P003,C010,M004,2,34000.00,18000.00,52.90
11,2024-01-20,P001,C001,M001,5,75000.00,40000.00,53.30
12,2024-01-22,P002,C002,M002,3,54000.00,27000.00,50.00
13,2024-01-23,P005,C003,M003,5,75000.00,45000.00,60.00
14,2024-01-25,P006,C004,M004,4,72000.00,44000.00,61.10
15,2024-01-27,P007,C005,M001,3,57000.00,33000.00,57.90
16,2024-02-01,P009,C006,M003,2,46000.00,26000.00,56.50
17,2024-02-03,P004,C007,M002,2,70000.00,30000.00,42.80
18,2024-02-05,P010,C008,M001,3,75000.00,39000.00,52.00
19,2024-02-06,P008,C009,M003,1,21000.00,12000.00,57.10
20,2024-02-07,P003,C010,M004,3,51000.00,27000.00,52.90
21,2024-02-08,P001,C001,M001,2,30000.00,16000.00,53.30
22,2024-02-10,P002,C002,M002,4,72000.00,36000.00,50.00
23,2024-02-11,P005,C003,M003,3,45000.00,27000.00,60.00
24,2024-02-12,P006,C004,M004,5,90000.00,55000.00,61.10
25,2024-02-13,P007,C005,M001,2,38000.00,22000.00,57.90
26,2024-02-14,P009,C006,M003,3,69000.00,39000.00,56.50
27,2024-02-16,P004,C007,M002,1,35000.00,15000.00,42.80
28,2024-02-18,P010,C008,M001,4,100000.00,52000.00,52.00
29,2024-02-19,P008,C009,M003,2,42000.00,24000.00,57.10
30,2024-02-20,P003,C010,M004,1,17000.00,9000.00,52.90
31,2024-02-22,P001,C001,M001,4,60000.00,32000.00,53.30
32,2024-02-23,P002,C002,M002,2,36000.00,18000.00,50.00
33,2024-02-25,P005,C003,M003,1,15000.00,9000.00,60.00
34,2024-02-26,P006,C004,M004,3,54000.00,33000.00,61.10
35,2024-02-27,P007,C005,M001,5,95000.00,55000.00,57.90
36,2024-02-28,P009,C006,M003,2,46000.00,26000.00,56.50
37,2024-03-01,P004,C007,M002,3,105000.00,45000.00,42.80
38,2024-03-02,P010,C008,M001,2,50000.00,26000.00,52.00
39,2024-03-03,P008,C009,M003,3,63000.00,36000.00,57.10
40,2024-03-05,P003,C010,M004,2,34000.00,18000.00,52.90
41,2024-03-06,P001,C001,M001,1,15000.00,8000.00,53.30
42,2024-03-07,P002,C002,M002,3,54000.00,27000.00,50.00
43,2024-03-08,P005,C003,M003,4,60000.00,36000.00,60.00
44,2024-03-09,P006,C004,M004,2,36000.00,22000.00,61.10
45,2024-03-10,P007,C005,M001,4,76000.00,44000.00,57.90
46,2024-03-11,P009,C006,M003,1,23000.00,13000.00,56.50
47,2024-03-13,P004,C007,M002,2,70000.00,30000.00,42.80
48,2024-03-14,P010,C008,M001,3,75000.00,39000.00,52.00
49,2024-03-15,P008,C009,M003,2,42000.00,24000.00,57.10
50,2024-03-16,P003,C010,M004,1,17000.00,9000.00,52.90
51,2024-03-18,P001,C001,M001,2,30000.00,16000.00,53.30
52,2024-03-20,P002,C002,M002,4,72000.00,36000.00,50.00
53,2024-03-22,P005,C003,M003,2,30000.00,18000.00,60.00
54,2024-03-24,P006,C004,M004,3,54000.00,33000.00,61.10
55,2024-03-25,P007,C005,M001,5,95000.00,55000.00,57.90
56,2024-03-26,P009,C006,M003,2,46000.00,26000.00,56.50
57,2024-03-27,P004,C007,M002,1,35000.00,15000.00,42.80
58,2024-03-28,P010,C008,M001,4,100000.00,52000.00,52.00
59,2024-03-29,P008,C009,M003,2,42000.00,24000.00,57.10
60,2024-03-30,P003,C010,M004,3,51000.00,27000.00,52.90
61,2024-04-01,P001,C001,M001,4,60000.00,32000.00,53.30
62,2024-04-02,P002,C002,M002,3,54000.00,27000.00,50.00
63,2024-04-03,P005,C003,M003,1,15000.00,9000.00,60.00
64,2024-04-04,P006,C004,M004,2,36000.00,22000.00,61.10
65,2024-04-05,P007,C005,M001,3,57000.00,33000.00,57.90
66,2024-04-06,P009,C006,M003,2,46000.00,26000.00,56.50
67,2024-04-07,P004,C007,M002,3,105000.00,45000.00,42.80
68,2024-04-08,P010,C008,M001,2,50000.00,26000.00,52.00
69,2024-04-09,P008,C009,M003,3,63000.00,36000.00,57.10
70,2024-04-10,P003,C010,M004,2,34000.00,18000.00,52.90
71,2024-04-11,P001,C001,M001,1,15000.00,8000.00,53.30
72,2024-04-12,P002,C002,M002,2,36000.00,18000.00,50.00
73,2024-04-13,P005,C003,M003,4,60000.00,36000.00,60.00
74,2024-04-14,P006,C004,M004,2,36000.00,22000.00,61.10
75,2024-04-15,P007,C005,M001,4,76000.00,44000.00,57.90
76,2024-04-16,P009,C006,M003,1,23000.00,13000.00,56.50
77,2024-04-17,P004,C007,M002,2,70000.00,30000.00,42.80
78,2024-04-18,P010,C008,M001,3,75000.00,39000.00,52.00
79,2024-04-19,P008,C009,M003,2,42000.00,24000.00,57.10
80,2024-04-20,P003,C010,M004,1,17000.00,9000.00,52.90
81,2024-04-21,P001,C001,M001,2,30000.00,16000.00,53.30
82,2024-04-22,P002,C002,M002,3,54000.00,27000.00,50.00
83,2024-04-23,P005,C003,M003,3,45000.00,27000.00,60.00
84,2024-04-24,P006,C004,M004,2,36000.00,22000.00,61.10
85,2024-04-25,P007,C005,M001,5,95000.00,55000.00,57.90
86,2024-04-26,P009,C006,M003,2,46000.00,26000.00,56.50
87,2024-04-27,P004,C007,M002,1,35000.00,15000.00,42.80
88,2024-04-28,P010,C008,M001,4,100000.00,52000.00,52.00
89,2024-04-29,P008,C009,M003,2,42000.00,24000.00,57.10
90,2024-04-30,P003,C010,M004,3,51000.00,27000.00,52.90
